date,MG,billed_kWh,kW,total_kWh, Operation_bill 
40418.00,7.21,23335.2,1019.2,23335.2,31035.82
40419.00,7.3,21638.4,1008,21638.4,28779.07
40420.00,7.33,22489.6,985.6,22489.6,29911.17
40421.00,8.38,22388.8,996.8,22388.8,29777.10
40422.00,7.3,22713.6,1008,22713.6,30209.09
40423.00,7.46,27591.2,1265.6,27591.2,36696.30
40424.00,6.62,29064,1254.4,29064,38655.12
40425.00,6.72,28543.2,1254.4,28543.2,37962.46
40426.00,6.34,23184,1176,23184,30834.72
40427.00,6.85,22282.4,1008,22282.4,29635.59
40428.00,6.61,22848,1064,22848,30387.84
40429.00,7.52,22915.2,1008,22915.2,30477.22
40430.00,6.59,22932,1030.4,22932,30499.56
40431.00,6.6,23111.2,1008,23111.2,30737.90
40432.00,7.34,23828,1075.2,23828,31691.24
40433.00,7.19,22646.4,1064,22646.4,30119.71
40434.00,7.4,24057.6,1086.4,24057.6,31996.61
40435.00,7.31,22590.4,1052.8,22590.4,30045.23
40436.00,6.99,23598.4,1041.6,23598.4,31385.87
40437.00,6.5,23906.4,1086.4,23906.4,31795.51
40438.00,6.67,24124.8,1075.2,24124.8,32085.98
40439.00,6.33,22663.2,1030.4,22663.2,30142.06
40440.00,6.63,23352,1075.2,23352,31058.16
40441.00,7.24,23811.2,1075.2,23811.2,31668.90
40442.00,7.82,23290.4,1052.8,23290.4,30976.23
40443.00,6.82,22971.2,1030.4,22971.2,30551.70
40444.00,6.68,23503.2,1064,23503.2,31259.26
40445.00,6.74,23419.2,1041.6,23419.2,31147.54
40446.00,6.25,23962.4,1064,23962.4,31869.99
40447.00,6.25,23693.6,1041.6,23693.6,31512.49
40448.00,6.87,23531.2,1052.8,23531.2,31296.50
40449.00,6.5,24074.4,1064,24074.4,32018.95
40450.00,6.41,23615.2,1064,23615.2,31408.22
40451.00,6.34,22646.4,1019.2,22646.4,30119.71
40452.00,5.81,23245.6,1064,23245.6,30916.65
40453.00,6.08,24584,1120,24584,32696.72
40454.00,5.56,25401.6,1108.8,25401.6,33784.13
40455.00,6.65,25446.4,1120,25446.4,33843.71
40456.00,6.51,26348,1153.6,26348,35042.84
40457.00,6.65,25978.4,1142.4,25978.4,34551.27
40458.00,6.44,25625.6,1142.4,25625.6,34082.05
40459.00,6.42,25737.6,1153.6,25737.6,34231.01
40460.00,6.21,25306.4,1131.2,25306.4,33657.51
40461.00,6.11,23990.4,1108.8,23990.4,31907.23
40462.00,5.98,23111.2,1075.2,23111.2,30737.90
40463.00,6.04,24276,1097.6,24276,32287.08
40464.00,5.84,23710.4,1131.2,23710.4,31534.83
40465.00,6.54,24029.6,1164.8,24029.6,31959.37
40466.00,6.88,25474.4,1153.6,25474.4,33880.95
40467.00,6.24,24416,1142.4,24416,32473.28
40468.00,6.06,24326.4,1086.4,24326.4,32354.11
40469.00,7.04,23161.6,1131.2,23161.6,30804.93
40470.00,6.08,24130.4,1064,24130.4,32093.43
40471.00,6.25,24410.4,1120,24410.4,32465.83
40472.00,6.39,25530.4,1142.4,25530.4,33955.43
40473.00,6.42,25939.2,1120,25939.2,34499.14
40474.00,5.93,24908.8,1086.4,24908.8,33128.70
40475.00,6.34,23223.2,1086.4,23223.2,30886.86
40476.00,6.98,23984.8,1075.2,23984.8,31899.78
40477.00,7.26,23626.4,1086.4,23626.4,31423.11
40478.00,6.83,23419.2,1052.8,23419.2,31147.54
40479.00,6.44,23816.8,1064,23816.8,31676.34
40480.00,6.43,24544.8,1086.4,24544.8,32644.58
40481.00,6.66,23777.6,1052.8,23777.6,31624.21
40482.00,6.05,24236.8,1075.2,24236.8,32234.94
40483.00,6.33,24539.2,1120,24539.2,32637.14
40484.00,5.9,24382.4,1086.4,24382.4,32428.59
40485.00,6.18,25737.6,1120,25737.6,34231.01
40486.00,6.36,25681.6,1131.2,25681.6,34156.53
40487.00,6.58,26252.8,1142.4,26252.8,34916.22
40488.00,6.67,26465.6,1164.8,26465.6,35199.25
40489.00,6.61,24858.4,1120,24858.4,33061.67
40490.00,6.28,26168.8,1176,26168.8,34804.50
40491.00,6.11,26616.8,1153.6,26616.8,35400.34
40492.00,6.6,26370.4,1209.6,26370.4,35072.63
40493.00,7.51,27148.8,1209.6,27148.8,36107.90
40494.00,6.85,27014.4,1187.2,27014.4,35929.15
40495.00,7.1,26555.2,1164.8,26555.2,35318.42
40496.00,7.45,24382.4,1153.6,24382.4,32428.59
40497.00,7.16,25166.4,1187.2,25166.4,33471.31
40498.00,8.08,26672.8,1243.2,26672.8,35474.82
40499.00,10.26,26852,1232,26852,35713.16
40500.00,7.26,27221.6,1209.6,27221.6,36204.73
40501.00,7.07,27322.4,1198.4,27322.4,36338.79
40502.00,6.25,22932,1142.4,22932,30499.56
40503.00,6.97,22954.4,1086.4,22954.4,30529.35
40504.00,6.97,24920,1086.4,24920,33143.60
40505.00,8.3,25989.6,1176,25989.6,34566.17
40506.00,9.04,26667.2,1243.2,26667.2,35467.38
40507.00,12.34,30884,1534.4,30884,41075.72
40508.00,13.04,22383.2,1052.8,22383.2,29769.66
40509.00,12.65,21851.2,1008,21851.2,29062.10
40510.00,16.62,25984,1232,25984,34558.72
40511.00,13.25,26723.2,1198.4,26723.2,35541.86
40512.00,14.04,28935.2,1433.6,28935.2,38483.82
40513.00,14.79,25088,1254.4,25088,33367.04
40514.00,12.61,27647.2,1209.6,27647.2,36770.78
40515.00,11.06,27104,1187.2,27104,36048.32
40516.00,10.42,27014.4,1187.2,27014.4,35929.15
40517.00,9.38,26936,1198.4,26936,35824.88
40518.00,9.16,27888,1209.6,27888,37091.04
40519.00,8.64,22713.6,1164.8,22713.6,30209.09
40520.00,8.05,24752,1075.2,24752,32920.16
40521.00,8.16,27496,1232,27496,36569.68
40522.00,8.41,27244,1187.2,27244,36234.52
40523.00,9.18,24673.6,1120,24673.6,32815.89
40524.00,12.48,26107.2,1176,26107.2,34722.58
40525.00,9.61,25552.8,1131.2,25552.8,33985.22
40526.00,9.21,25463.2,1131.2,25463.2,33866.06
40527.00,8.55,25799.2,1164.8,25799.2,34312.94
40528.00,8.29,24522.4,1108.8,24522.4,32614.79
40529.00,8.29,24432.8,1097.6,24432.8,32495.62
40530.00,7.48,24662.4,1075.2,24662.4,32800.99
40531.00,7.38,24080,1064,24080,32026.40
40532.00,7.68,20860,1008,20860,27743.80
40533.00,7.7,20490.4,1008,20490.4,27252.23
40534.00,8.04,20479.2,918.4,20479.2,27237.34
40535.00,7.62,20770.4,907.2,20770.4,27624.63
40536.00,7.17,20619.2,907.2,20619.2,27423.54
40537.00,6.51,20333.6,907.2,20333.6,27043.69
40538.00,6.64,20496,907.2,20496,27259.68
40539.00,6.86,20378.4,896,20378.4,27103.27
40540.00,7.35,20596.8,907.2,20596.8,27393.74
40541.00,7.61,24432.8,1097.6,24432.8,32495.62
40542.00,10.01,24595.2,1131.2,24595.2,32711.62
40543.00,11.52,24852.8,1108.8,24852.8,33054.22
40544.00,13.88,26398.4,1220.8,26398.4,35109.87
40545.00,13.68,23844.8,1075.2,23844.8,31713.58
40546.00,13.12,24466.4,1097.6,24466.4,32540.31
40547.00,11.88,22596,1052.8,22596,30052.68
40548.00,9.75,20708.8,918.4,20708.8,27542.70
40549.00,8.63,20809.6,907.2,20809.6,27676.77
40550.00,7.41,23520,1064,23520,31281.60
40551.00,7.11,24292.8,1097.6,24292.8,32309.42
40552.00,7.07,23744,1075.2,23744,31579.52
40553.00,7.16,23766.4,1064,23766.4,31609.31
40554.00,7.41,23811.2,1086.4,23811.2,31668.90
40555.00,7.28,23301.6,1041.6,23301.6,30991.13
40556.00,6.99,24080,1075.2,24080,32026.40
40557.00,6.8,24768.8,1086.4,24768.8,32942.50
40558.00,7.08,24320.8,1075.2,24320.8,32346.66
40559.00,7.13,22859.2,1041.6,22859.2,30402.74
40560.00,7.69,22842.4,1008,22842.4,30380.39
40561.00,10.43,23576,1019.2,23576,31356.08
40562.00,11.17,24197.6,1086.4,24197.6,32182.81
40563.00,9.02,24533.6,1075.2,24533.6,32629.69
40564.00,8.88,25883.2,1164.8,25883.2,34424.66
40565.00,8.06,25838.4,1153.6,25838.4,34365.07
40566.00,8.02,25743.2,1164.8,25743.2,34238.46
40567.00,8.06,24511.2,1120,24511.2,32599.90
40568.00,8.37,23105.6,1052.8,23105.6,30730.45
40569.00,8.76,23951.2,1041.6,23951.2,31855.10
40570.00,8.47,23816.8,1030.4,23816.8,31676.34
40571.00,8.27,23973.6,1075.2,23973.6,31884.89
40572.00,8.64,23486.4,1041.6,23486.4,31236.91
40573.00,7.79,22327.2,1030.4,22327.2,29695.18
40574.00,8.42,22254.4,1019.2,22254.4,29598.35
40575.00,11.8,24091.2,1086.4,24091.2,32041.30
40576.00,13.43,25149.6,1097.6,25149.6,33448.97
40577.00,10.67,23839.2,1052.8,23839.2,31706.14
40578.00,10.01,23660,1030.4,23660,31467.80
40579.00,9.34,23284.8,1030.4,23284.8,30968.78
40580.00,9.12,22220.8,1041.6,22220.8,29553.66
40581.00,9.48,23514.4,1052.8,23514.4,31274.15
40582.00,9.15,21980,1097.6,21980,29233.40
40583.00,8.79,23352,1086.4,23352,31058.16
40584.00,8.12,23475.2,1030.4,23475.2,31222.02
40585.00,8.25,22825.6,1008,22825.6,30358.05
40586.00,7.48,22954.4,1030.4,22954.4,30529.35
40587.00,8.16,22612.8,1052.8,22612.8,30075.02
40588.00,9.16,23772,1064,23772,31616.76
40589.00,9.33,23441.6,1075.2,23441.6,31177.33
40590.00,9.04,23128,1041.6,23128,30760.24
40591.00,10.03,23396.8,1064,23396.8,31117.74
40592.00,9.92,23424.8,1041.6,23424.8,31154.98
40593.00,8.93,22814.4,1030.4,22814.4,30343.15
40594.00,8.78,22288,1008,22288,29643.04
40595.00,20.23,26493.6,1467.2,26493.6,35236.49
40596.00,26.02,28638.4,1288,28638.4,38089.07
40597.00,16.35,27871.2,1209.6,27871.2,37068.70
40598.00,13.98,26381.6,1467.2,26381.6,35087.53
40599.00,19.18,30178.4,1500.8,30178.4,40137.27
40600.00,21.46,30839.2,1691.2,30839.2,41016.14
40601.00,20.4,30816.8,1668.8,30816.8,40986.34
